channel1,channel2
-4.32,-4.32
-4.85,-4.85
-4.38,-4.38
-3.66,-3.66
-3.44,-3.44
-4.48,-4.48
-6.26,-6.26
-8.52,-8.52
-10.5,-10.5
-11.47,-11.47
-11.43,-11.43
-10.13,-10.13
-8.35,-8.35
-6.83,-6.83
-8.32,-8.32
-13.55,-13.55
-21.73,-21.73
-30.58,-30.58
-36.6,-36.6
-38.8,-38.8
-37.23,-37.23
-33.67,-33.67
-29.88,-29.88
-26.63,-26.63
-23.9,-23.9
-20.94,-20.94
-17.76,-17.76
-14.1,-14.1
-9.48,-9.48
-4.39,-4.39
0.15,0.15
2.9,2.9
3.37,3.37
2.34,2.34
0.81,0.81
-0.2,-0.2
0.55,0.55
3.55,3.55
7.76,7.76
11.69,11.69
14.08,14.08
15.19,15.19
15.54,15.54
15.39,15.39
14.98,14.98
14.33,14.33
13.43,13.43
13.04,13.04
13.64,13.64
15.24,15.24
17.83,17.83
21.13,21.13
24.91,24.91
28.39,28.39
30.59,30.59
31.02,31.02
29.18,29.18
26.36,26.36
23.81,23.81
23.28,23.28
24.25,24.25
25.71,25.71
26.66,26.66
27.09,27.09
27.0,27.0
26.67,26.67
25.84,25.84
24.26,24.26
22.44,22.44
21.38,21.38
21.09,21.09
21.03,21.03
20.48,20.48
19.18,19.18
17.14,17.14
15.11,15.11
13.6,13.6
13.61,13.61
15.61,15.61
19.84,19.84
24.52,24.52
28.16,28.16
30.02,30.02
30.85,30.85
32.17,32.17
34.23,34.23
36.51,36.51
36.76,36.76
35.0,35.0
31.51,31.51
27.79,27.79
25.1,25.1
24.44,24.44
25.02,25.02
26.1,26.1
25.66,25.66
23.73,23.73
20.3,20.3
17.41,17.41
15.54,15.54
15.93,15.93
17.82,17.82
19.69,19.69
20.54,20.54
20.62,20.62
20.2,20.2
19.54,19.54
18.62,18.62
18.72,18.72
19.8,19.8
21.38,21.38
22.45,22.45
21.98,21.98
20.53,20.53
18.84,18.84
18.41,18.41
18.73,18.73
19.79,19.79
21.09,21.09
22.63,22.63
24.4,24.4
26.9,26.9
29.37,29.37
